band,version,members
Van Halen,1,David Lee Roth
Van Halen,1,Eddie Van Halen
Van Halen,1,Alex Van Halen
Van Halen,1,Michael Anthony
Van Halen,2,Sammy Hagar
Van Halen,2,Eddie Van Halen
Van Halen,2,Alex Van Halen
Van Halen,2,Michael Anthony
Van Halen,3,Gary Cherone
Van Halen,3,Eddie Van Halen
Van Halen,3,Alex Van Halen
Van Halen,3,Michael Anthony
Van Halen,4,David Lee Roth
Van Halen,4,Eddie Van Halen
Van Halen,4,Alex Van Halen
Van Halen,4,Wolfgang Van Halen
Kiss,1,Paul Stanley
Kiss,1,Gene Simmons
Kiss,1,Ace Frehley
Kiss,1,Peter Criss
Kiss,2,Paul Stanley
Kiss,2,Gene Simmons
Kiss,2,Ace Frehley
Kiss,2,Eric Carr
Kiss,3,Paul Stanley
Kiss,3,Gene Simmons
Kiss,3,Vinnie Vincent
Kiss,3,Eric Carr
Kiss,4,Paul Stanley
Kiss,4,Gene Simmons
Kiss,4,Bruce Kulick
Kiss,4,Eric Carr
Kiss,5,Paul Stanley
Kiss,5,Gene Simmons
Kiss,5,Tommy Thayer
Kiss,5,Eric Singer
Rush,2,Geddy Lee
Rush,2,Alex Lifeson
Rush,2,Neil Peart
Rush,1,Geddy Lee
Rush,1,Alex Lifeson
Rush,1,John Rutsey
ZZ Top,1,Billy Gibbons
ZZ Top,1,Dusty Hill
ZZ Top,1,Frank Beard
