Rank	School Name	School Type	Degree Type	School Sector	Early Career PayMedian salary for alumni with 0-5 years experience	Mid-Career PayMedian salary for alumni with 10+ years experience	% High Meaning% alumni who say their work makes the world a better place	% STEM Degrees% degrees awarded in science, technology, engineering or math subjects	
1	[object Object]Case Western Reserve University	Private School, Research University	Bachelors	Private not-for-profit	$65,100	$113,800	45%	36%	1Case Western Reserve UniversityDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$65,100Mid-Career Pay$113,800% High Meaning45%% STEM Degrees36%	
2	[object Object]Kenyon College	Liberal Arts School, Private School	Bachelors	Private not-for-profit	$52,700	$111,500	49%	17%	2Kenyon CollegeDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$52,700Mid-Career Pay$111,500% High Meaning49%% STEM Degrees17%	
3	[object Object]Wittenberg University	Liberal Arts School, Private School, Religious	Bachelors	Private not-for-profit	$49,800	$109,800	61%	20%	3Wittenberg UniversityDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$49,800Mid-Career Pay$109,800% High Meaning61%% STEM Degrees20%	
4	[object Object]Denison University	Liberal Arts School, Private School	Bachelors	Private not-for-profit	$52,400	$108,200	44%	22%	4Denison UniversityDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$52,400Mid-Career Pay$108,200% High Meaning44%% STEM Degrees22%	
5	[object Object]Miami University-Oxford	Research University, For Sports Fans, State School	Bachelors	Public	$55,400	$108,100	46%	22%	5Miami University-OxfordDegree TypeBachelorsSchool SectorPublicEarly Career Pay$55,400Mid-Career Pay$108,100% High Meaning46%% STEM Degrees22%	
6	[object Object]University of Dayton	Private School, Religious, Research University, For Sports Fans	Bachelors	Private not-for-profit	$56,100	$104,500	44%	33%	6University of DaytonDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$56,100Mid-Career Pay$104,500% High Meaning44%% STEM Degrees33%	
7	[object Object]Ohio Wesleyan University	Liberal Arts School, Private School, Religious	Bachelors	Private not-for-profit	$48,800	$103,900	48%	21%	7Ohio Wesleyan UniversityDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$48,800Mid-Career Pay$103,900% High Meaning48%% STEM Degrees21%	
8	[object Object]Ohio Northern University	Private School, Religious	Bachelors	Private not-for-profit	$53,500	$101,500	49%	22%	8Ohio Northern UniversityDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$53,500Mid-Career Pay$101,500% High Meaning49%% STEM Degrees22%	
9	[object Object]Oberlin College	Liberal Arts School, Private School	Bachelors	Private not-for-profit	$51,400	$100,600	50%	21%	9Oberlin CollegeDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$51,400Mid-Career Pay$100,600% High Meaning50%% STEM Degrees21%	
10	[object Object]John Carroll University	Private School, Religious	Bachelors	Private not-for-profit	$49,800	$99,400	37%	16%	10John Carroll UniversityDegree TypeBachelorsSchool SectorPrivate not-for-profitEarly Career Pay$49,800Mid-Career Pay$99,400% High Meaning37%% STEM Degrees16%	
