School	Tuition	Rating	$Value	
Allegheny Wesleyan CollegeSalem, 59 Students	$4,800	-	-	
American Institute of Alternative MedicineColumbus, 276 Students	$12,558	-	-	
Antonelli College CincinnatiCincinnati, 79 Students	$15,980	-	-	
Art Academy of CincinnatiCincinnati, 189 Students	$29,665	57	69	
Ashland UniversityAshland, 4,507 Students	$19,740	56	62	
ATS Institute of TechnologyHighland Heights, 215 Students	$23,512	-	-	
Aultman College of Nursing and Health SciencesCanton, 106 Students	$17,000	-	-	
Baldwin Wallace CollegeBerea, 3,476 Students	$31,668	-	-	
Beckfield College Tri CountySpringdale, 199 Students	$12,780	-	-	
Belmont Technical CollegeSaint Clairsville, 577 Students	$2,527	-	-	
Bluffton UniversityBluffton, 804 Students	$31,222	60	63	
Bowling Green State University FirelandsHuron, 940 Students	$4,706	-	-	
Bowling Green State University Main CampusBowling Green, 14,573 Students	$9,096	50	66	
Bradford SchoolColumbus, 397 Students	$13,980	-	-	
Brown Mackie College AkronAkron, 152 Students	$11,592	-	-	
Brown Mackie College CincinnatiCincinnati, 249 Students	$11,772	-	-	
Brown Mackie College FindlayFindlay, 214 Students	$11,772	-	-	
Brown Mackie College North CantonCanton, 323 Students	$11,772	-	-	
Bryant & Stratton College ClevelandCleveland, 117 Students	$16,953	-	-	
Bryant and Stratton College EastlakeEastlake, 120 Students	$17,165	-	-	
Bryant and Stratton College ParmaParma, 175 Students	$17,010	-	-	
Capital UniversityColumbus, 2,922 Students	$34,280	65	66	
Case Western Reserve University Best ValueCleveland, 10,398 Students	$47,074	93	68	
Cedarville University Best ValueCedarville, 3,223 Students	$28,956	71	67	
Central Ohio Technical CollegeNewark, 729 Students	$4,296	-	-	
Central State UniversityWilberforce, 1,601 Students	$3,926	34	72	
Chamberlain College of Nursing OhioColumbus, 348 Students	$18,495	-	-	
Chancellor UniversitySeven Hills, 237 Students	$11,550	-	-	
Chatfield CollegeSaint Martin, 195 Students	$11,125	-	-	
Cincinnati Christian UniversityCincinnati, 711 Students	$16,530	24	28	
Cincinnati College of Mortuary ScienceCincinnati, 128 Students	$17,625	-	-	
Cincinnati State Technical and Community CollegeCincinnati, 2,498 Students	$3,567	-	-	
Clark State Community CollegeSpringfield, 1,415 Students	$2,912	-	-	
Cleveland Institute of ArtCleveland, 610 Students	$37,980	67	51	
Cleveland Institute of MusicCleveland, 420 Students	$47,200	-	-	
Cleveland State UniversityCleveland, 11,342 Students	$9,636	32	52	
College of Mount St. JosephCincinnati, 1,219 Students	$28,100	43	59	
Columbus College of Art and DesignColumbus, 1,034 Students	$33,960	-	-	
Columbus State Community CollegeColumbus, 7,025 Students	$3,808	-	-	
Cuyahoga Community College DistrictCleveland, 7,680 Students	$3,953	-	-	
Davis CollegeToledo, 24 Students	$12,600	-	-	
Daymar College ChillicotheChillicothe, 32 Students	$17,000	-	-	
Daymar College JacksonJackson, 13 Students	$17,000	-	-	
Daymar College LancasterLancaster, 73 Students	$15,000	-	-	
Daymar College New BostonNew Boston, 22 Students	$15,000	-	-	
Defiance CollegeDefiance, 519 Students	$31,480	47	48	
Denison University Best ValueGranville, 2,259 Students	$49,310	90	67	
DeVry University OhioColumbus, 2,139 Students	$15,835	-	-	
Eastern Gateway Community CollegeSteubenville, 1,141 Students	$3,510	-	-	
Edison State Community CollegePiqua, 803 Students	$3,610	-	-	
ETI Technical CollegeNiles, 69 Students	$9,772	-	-	
Fortis College CentevilleCenterville, 861 Students	$13,442	-	-	
Fortis College CincinnatiCincinnati, 409 Students	$14,196	-	-	
Fortis College ColumbusWesterville, 789 Students	$13,914	-	-	
Fortis College Cuyahoga FallsCuyahoga Falls, 513 Students	$12,901	-	-	
Fortis College RavennaRavenna, 173 Students	$13,590	-	-	
Franciscan University of Steubenville Best ValueSteubenville, 2,153 Students	$25,970	64	61	
Franklin UniversityColumbus, 1,986 Students	$12,216	-	-	
Gallipolis Career CollegeGallipolis, 25 Students	$12,480	-	-	
Gods Bible School and CollegeCincinnati, 173 Students	$6,000	-	-	
Good Samaritan College of Nursing & Health ScienceCincinnati, 138 Students	$13,605	-	-	
Harrison College Grove CityGrove City, 134 Students	$14,400	-	-	
Heidelberg UniversityTiffin, 1,161 Students	$29,600	45	55	
Herzing University   Akron CampusAkron, 273 Students	$13,000	-	-	
Herzing University ToledoToledo, 167 Students	$13,000	-	-	
Hiram CollegeHiram, 868 Students	$32,700	66	66	
Hocking CollegeNelsonville, 2,273 Students	$3,696	-	-	
Hondros CollegeWesterville, 971 Students	$17,040	-	-	
International College of BroadcastingDayton, 55 Students	$12,469	-	-	
James A Rhodes State CollegeLima, 1,057 Students	$3,845	-	-	
John Carroll UniversityUniversity Heights, 3,181 Students	$38,490	58	60	
Kent State University at AshtabulaAshtabula, 516 Students	$5,664	-	-	
Kent State University at East LiverpoolEast Liverpool, 148 Students	$5,664	-	-	
Kent State University at GeaugaBurton, 594 Students	$5,664	-	-	
Kent State University at KentKent, 22,848 Students	$10,012	42	57	
Kent State University at SalemSalem, 549 Students	$5,664	-	-	
Kent State University at StarkCanton, 2,027 Students	$5,664	-	-	
Kent State University at TrumbullWarren, 642 Students	$5,664	-	-	
Kent State University at TuscarawasNew Philadelphia, 656 Students	$5,664	-	-	
Kenyon College Best ValueGambier, 1,689 Students	$51,540	95	72	
Kettering College of Medical ArtsKettering, 453 Students	$12,408	-	-	
Lake Erie CollegePainesville, 823 Students	$29,426	42	53	
Lakeland Community CollegeKirtland, 2,557 Students	$4,136	-	-	
Lincoln College of Technology ClevelandCleveland, 33 Students	$11,895	-	-	
Lincoln College of Technology ColumbusColumbus, 40 Students	$11,895	-	-	
Lincoln College of Technology DaytonDayton, 284 Students	$11,895	-	-	
Lincoln College of Technology Franklin LCTFranklin, 162 Students	$11,895	-	-	
Lincoln College of Technology ToledoToledo, 213 Students	$11,895	-	-	
Lincoln College of Technology Tri CountyCincinnati, 401 Students	$11,895	-	-	
